,Year,Drink Window,Description,Province,Type,Name of Wine,Points,Price
1874,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Meiomi 2013 Chardonnay (Sonoma County-Monterey County-Santa Barbara County),90,$22.00
1875,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Summerland 2013 Sierra Madre Vineyard Chardonnay (Santa Maria Valley),91,$36.00
1876,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Riverbench 2013 Reserve Chardonnay (Santa Maria Valley),90,$32.00
1877,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Mount Eden Vineyards 2013 Wolff Vineyard Old Vines Chardonnay (Edna Valley),92,$20.00
1878,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Testarossa 2013 Sierra Madre Vineyard Chardonnay (Santa Maria Valley),90,$48.00
1879,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Cakebread 2013 Reserve Chardonnay (Carneros),91,$56.00
1880,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Ruby Hill Winery 2013 Reserve Collection Chardonnay (Livermore Valley),92,$25.00
1881,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Spring Mountain Vineyard 2013 Estate Bottled Chardonnay (Napa Valley),90,$50.00
1882,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Cuvaison 2013 Estate Grown Chardonnay (Carneros),91,$25.00
1883,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Wayfarer 2013 Wayfarer Vineyard Chardonnay (Fort Ross-Seaview),95,$80.00
1884,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Alta Maria 2013 Chardonnay (Santa Maria Valley),87,$28.00
1885,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Acacia 2013 Sangiacomo Vineyard Chardonnay (Carneros),86,$45.00
1886,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,William Knuttel 2013 Bacigalupi Vineyard Chardonnay (Russian River Valley),91,$38.00
1887,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Jamie Slone Wines 2013 Aloysius Sierra Madre Vineyard Chardonnay (Santa Maria Valley),92,$47.00
1888,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Adelaida 2013 HMR Vineyard Chardonnay (Paso Robles),88,$40.00
1889,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Portola Vineyards 2013 Chardonnay (Santa Cruz Mountains),88,$30.00
1890,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Babcock 2013 The Limit Chardonnay (Sta. Rita Hills),92,$45.00
1891,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Merriam 2013 Bacigalupi Chardonnay (Russian River Valley),86,$50.00
1892,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Dutton-Goldfield 2013 Dutton Ranch Rued Vineyard Chardonnay (Green Valley),93,$50.00
1893,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,J Wilkes 2013 Chardonnay (Santa Maria Valley),87,$20.00
1894,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Burrell School Vineyards 2013 Teacher's Pet Estate Chardonnay (Santa Cruz Mountains),90,$30.00
1895,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Lynmar 2013 Susanna's Vineyard Chardonnay (Sonoma Coast),93,$55.00
1896,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Eberle 2013 Eberle Estate Vineyard Chardonnay (Paso Robles),86,$22.00
1897,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Arista 2013 Chardonnay (Russian River Valley),92,$46.00
1898,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Comartin 2013 R-Bar-R Vineyards Chardonnay (Santa Cruz Mountains),89,$36.00
1899,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Eagle Canyon 2013 Chardonnay (California),87,$13.00
1900,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Martin Ranch 2013 Thérèse Vineyards Griva Vineyard Chardonnay (Arroyo Seco),86,$35.00
1901,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Austerity 2013 Chardonnay (Arroyo Seco),87,$17.00
1902,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Fess Parker 2013 Bien Nacido Vineyard Chardonnay (Santa Barbara County),93,$37.00
1903,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Firestone 2013 Reserve Chardonnay (Santa Ynez Valley),86,$27.00
1904,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Eric Kent 2013 Chardonnay (Russian River Valley),91,$42.00
1905,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Trinitas 2013 Chardonnay (Carneros),87,$32.00
1906,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Ryan Cochrane 2013 Solomon Hills Vineyard Chardonnay (Santa Maria Valley),92,$34.00
1907,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Zotovich Cellars 2013 Estate Chardonnay (Sta. Rita Hills),93,$36.00
1908,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Daou 2013 Reserve Chardonnay (Paso Robles),91,$46.00
1909,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Boekenoogen 2013 Boekenoogen Chardonnay (Santa Lucia Highlands),89,$34.00
1910,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Jordan 2013 Chardonnay (Russian River Valley),91,$30.00
1911,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Santa Barbara Winery 2013 Reserve Chardonnay (Sta. Rita Hills),90,$25.00
1912,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Folie à Deux 2013 Chardonnay (Russian River Valley),86,$18.00
1913,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Beauregard 2013 Bald Mountain Vineyard Chardonnay (Ben Lomond Mountain),93,$45.00
1914,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Matchbook 2013 Old Head Chardonnay (Dunnigan Hills),88,$15.00
1915,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Sea Monster 2013 Los Alamos Vineyard Chardonnay (Santa Barbara County),91,$20.00
1916,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,August Truth 2013 Sangiacomo Vineyard Chardonnay (Sonoma Coast),90,$32.00
1917,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Gary Farrell 2013 Durell Vineyard Chardonnay (Sonoma Valley),96,$55.00
1918,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Red Car 2013 Chardonnay (Sonoma Coast),86,$38.00
1919,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Custard 2013 Comfort Wine Chardonnay (Sonoma Valley),85,$22.00
1920,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Alias 2013 Chardonnay (California),81,$10.00
1921,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Stickybeak 2013 Chardonnay (Russian River Valley),86,$17.00
1922,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Naughty Boy 2013 Thornton Ranch Chardonnay (Potter Valley),84,$15.00
1923,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Clif Family 2013 Chardonnay (Oak Knoll District),89,$32.00
1924,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Boheme 2013 Taylor Ridge Vineyard Chardonnay (Sonoma Coast),92,$45.00
1925,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Nicholson Ranch 2013 Estate Chardonnay (Sonoma Valley),90,$36.00
1926,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Michel-Schlumberger 2013 La Brume Chardonnay (Dry Creek Valley),87,$20.00
1927,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,The Winery SF 2013 Chardonnay (North Coast),84,$25.00
1928,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Longoria 2013 Cuvee Diana Chardonnay (Sta. Rita Hills),92,$45.00
1929,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Silver Mountain 2013 Chardonnay (Santa Cruz Mountains),89,$32.00
1930,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Black Ridge 2013 Cheryl's Chardonnay (Santa Cruz Mountains),91,$45.00
1931,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Kunde 2013 Reserve Chardonnay (Sonoma Valley),90,$40.00
1932,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Scott Family 2013 Dijon Clone Chardonnay (Arroyo Seco),88,$25.00
1933,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Geyser Peak 2013 Water Bend Chardonnay (Sonoma County),90,$26.00
1934,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Matrix 2013 Matrix Estate Chardonnay (Russian River Valley),83,$36.00
1935,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Babcock 2013 Top Cream Chardonnay (Sta. Rita Hills),91,$45.00
1936,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Buena Vista 2013 Chardonnay (Carneros),90,$20.00
1937,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Scratchpad 2013 Chardonnay (Central Coast),84,$15.00
1938,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Joullian 2013 Highland Vineyard Chardonnay (Santa Lucia Highlands),88,$35.00
1939,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Grgich Hills 2013 Paris Tasting Commemorative Chardonnay (Napa Valley),91,$93.00
1940,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Joseph Carr 2013 Chardonnay (Sonoma Coast),90,$20.00
1941,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Silverpoint Cellars 2013 Chardonnay (Sonoma Coast),90,$45.00
1942,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Pellet Estate 2013 Sunchase Vineyard Chardonnay (Sonoma Coast),93,$68.00
1943,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Young Inglewood 2013 Linda Vista Vineyard Chardonnay (Napa Valley),94,$60.00
1944,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Victor Vineyards 2013 Lawson Ranch Chardonnay (Lodi),86,$15.00
1945,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Bright Angel WInes 2013 Courtney's Vineyard Chardonnay (Sta. Rita Hills),89,$40.00
1946,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Old Soul 2013 Chardonnay (Lodi),86,$14.00
1947,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Arista 2013 Banfield Vineyards Chardonnay (Russian River Valley),94,$60.00
1948,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Liquid Farm 2013 La Hermana Chardonnay (Santa Maria Valley),90,$40.00
1949,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Domaine Anderson 2013 Dach Vineyard Chardonnay (Anderson Valley),91,$55.00
1950,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Bargetto 2013 Regan Vineyards Reserve Chardonnay (Santa Cruz Mountains),93,$30.00
1951,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Marimar Estate 2013 Don Miguel Vineyard La Masía Chardonnay (Russian River Valley),91,$35.00
1952,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Williams Selyem 2013 Olivet Lane Vineyard Chardonnay (Russian River Valley),92,$58.00
1953,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Bouchaine 2013 Estate Chardonnay (Carneros),86,$30.00
1954,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Rusack 2013 Reserve Chardonnay (Santa Maria Valley),92,$32.00
1955,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Testarossa 2013 La Rinconada Vineyard Chardonnay (Sta. Rita Hills),93,$48.00
1956,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Viszlay Vineyards 2013 Chardonnay (Russian River Valley),85,$38.00
1957,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Krutz 2013 Chardonnay (Green Valley),92,$40.00
1958,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Morgan 2013 Highland Chardonnay (Santa Lucia Highlands),91,$28.00
1959,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Franciscan 2013 Cuvée Sauvage Chardonnay (Carneros),92,$40.00
1960,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Calstar Cellars 2013 Chardonnay (Sonoma Coast),88,$29.00
1961,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Joullian 2013 Roger Rose Vineyard Chardonnay (Arroyo Seco),91,$30.00
1962,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Joseph Phelps 2013 Pastorale Vineyard Estate Grown Chardonnay (Sonoma Coast),92,$75.00
1963,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,William Hill Estate 2013 Unfiltered Chardonnay (Napa Valley),90,$55.00
1964,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,William Hill Estate 2013 Bench Blend Chardonnay (Napa Valley),91,$40.00
1965,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,One Hope 2013 Chardonnay (California),85,$19.00
1966,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Sparrow Hawk 2013 Reserve Chardonnay (Napa Valley),89,$25.00
1967,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Angel's Cup 2013 Vineyard Selection Chardonnay (California),85,$12.00
1968,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Cold Water Creek 2013 Chardonnay (North Coast),88,$13.00
1969,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Belle Ambiance 2013 Chardonnay (California),87,$10.00
1970,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Foley 2013 Bar Lazy S Ranch Chardonnay (Sta. Rita Hills),87,$45.00
1971,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Mi Sueño 2013 Chardonnay (Los Carneros),90,$42.00
1972,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,The Calling 2013 Dutton Ranch Chardonnay (Russian River Valley),90,$32.00
1973,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Twenty Bench 2013 Chardonnay (Napa Valley),86,$18.00
1974,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Ruby Hill Winery 2013 Jewel Collection Series Estate Reserve Chardonnay (Livermore Valley),92,$40.00
1975,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Hunnicutt 2013 Chardonnay (Napa Valley),90,$45.00
1976,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,JAQK Cellars 2013 High Roller Chardonnay (Sonoma Coast),87,$20.00
1977,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Westerly 2013 Chardonnay (Santa Barbara County),89,$40.00
1978,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Educated Guess 2013 Chardonnay (Carneros),83,$17.00
1979,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Senses 2013 Chardonnay (Sonoma Coast),87,$35.00
1980,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Peter Paul Wines 2013 Bacigalupi Vineyard Chardonnay (Russian River Valley),90,$40.00
1981,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Okapi 2013 Chardonnay (Napa Valley),92,$40.00
1982,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Garnet 2013 Chardonnay (Monterey County),90,$18.00
1983,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Dutton-Goldfield 2013 Dutton Ranch Walker Hill Vineyard Chardonnay (Green Valley),92,$50.00
1984,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Kirkland Signature 2013 Signature Series Chardonnay (Russian River Valley),90,$13.00
1985,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,MacRostie 2013 Wildcat Mountain Vineyard Chardonnay (Sonoma Coast),91,$40.00
1986,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Keller 2013 Oro de Plata Chardonnay (Sonoma Coast),92,$33.00
1987,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Arrowood 2013 Chardonnay (Sonoma County),87,$25.00
1988,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Three Thieves 2013 Chardonnay (California),85,$7.00
1989,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Calera 2013 Chardonnay (Mt. Harlan),93,$36.00
1990,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Marimar Estate 2013 Don Miguel Vineyard Dobles Lias Unfiltered Chardonnay (Russian River Valley),92,$49.00
1991,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,La Pitchoune 2013 Chenoweth Vineyard Chardonnay (Russian River Valley),90,$88.00
1992,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,The Federalist 2013 Chardonnay (Sonoma County),86,$22.00
1993,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Two Sisters 2013 Courtney's Vineyard Chardonnay (Sta. Rita Hills),92,$55.00
1994,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Stephen Ross 2013 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),92,$30.00
1995,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Chime 2013 Chardonnay (California),88,$13.00
1996,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,J Vineyards & Winery 2013 Bow Tie Vineyard Chardonnay (Russian River Valley),90,$45.00
1997,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Hindsight 2013 Chardonnay (Napa Valley),91,$28.00
1998,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Coastline 2013 Chardonnay (Central Coast),87,$12.00
1999,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Bernardus 2013 Soberanes Vineyard Chardonnay (Santa Lucia Highlands),89,$40.00
2000,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Beauregard 2013 Brut Nature Blanc de Blancs Méthode Champenoise Estate Grown Chardonnay (Ben Lomond Mountain),92,$80.00
2001,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,MacPhail 2013 Vagon Blanc Chardonnay (Sonoma Coast),92,$65.00
2002,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Clos La Chance 2013 The Vegan Vine Chardonnay (Central Coast),85,$18.00
2003,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,La Follette 2013 Lorenzo Vineyard Chardonnay (Russian River Valley),90,$45.00
2004,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Kendall-Jackson 2013 Jackson Estate Chardonnay (Santa Maria Valley),92,$28.00
2005,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Testarossa 2013 Cuvee 107 Chardonnay (Santa Lucia Highlands),89,$20.00
2006,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Summerland 2013 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),91,$40.00
2007,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Jack Creek 2013 Kruse Vineyard Chardonnay (Central Coast),90,$36.00
2008,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Longboard 2013 Rochioli Vineyard Chardonnay (Russian River Valley),90,$54.00
2009,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Martin Ray 2013 Reserve Chardonnay (Santa Cruz Mountains),92,$40.00
2010,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Liquid Farm 2013 White Hills Chardonnay (Sta. Rita Hills),89,$40.00
2011,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Conarium 2013 Clos Pepe VIneyard Chardonnay (Sta. Rita Hills),90,$40.00
2012,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Treana 2013 Chardonnay (Central Coast),91,$24.00
2013,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Pence Ranch 2013 Chardonnay (Santa Barbara County),92,$24.00
2014,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Scar of the Sea 2013 Bien Nacido Vineyard Block II Mount Eden Clone Chardonnay (Santa Maria Valley),92,$46.00
2015,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Bishop's Peak 2013 Chardonnay (San Luis Obispo),86,$16.00
2016,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Gibbs 2013 Barrel Fermented Chardonnay (Napa Valley),86,$25.00
2017,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Eleven Eleven 2013 Dutton Ranch Chardonnay (Russian River Valley),93,$48.00
2018,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,William Hill Estate 2013 Chardonnay (North Coast),90,$17.00
2019,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Etude 2013 Grace Benoist Ranch Estate Grown Chardonnay (Carneros),88,$32.00
2020,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,B Cellars 2013 Dutton Ranch Chardonnay (Russian River Valley),92,$47.00
2021,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Montevina 2013 Omira Hills Chardonnay (California),86,$10.00
2022,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Anaba 2013 Denmark Vineyard Chardonnay (Sonoma Coast),93,$32.00
2023,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Chamisal Vineyards 2013 Chamise Chardonnay (Edna Valley),90,$75.00
2024,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,St. Francis 2013 Chardonnay (Sonoma County),88,$15.00
2025,2013.0,Drink,"An exceptional year, distinct for vibrancy and density; ageworthy",California,Chardonnay,Duckhorn 2013 Toyon Vineyard Chardonnay (Napa Valley),91,$55.00
2968,2012.0,Drink,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",California,Chardonnay,Byron 2012 Chardonnay (Santa Barbara County),90,$17.00
2969,2012.0,Drink,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",California,Chardonnay,Fess Parker 2012 Lazy F Ranch Chardonnay (Sta. Rita Hills),91,$35.00
2970,2012.0,Drink,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",California,Chardonnay,Carmel Road 2012 Liberated Chardonnay (Arroyo Seco),84,$16.00
2971,2012.0,Drink,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",California,Chardonnay,Cannonball 2012 Chardonnay (Sonoma County),82,$15.00
2972,2012.0,Drink,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",California,Chardonnay,Muirwood 2012 Chardonnay (Arroyo Seco),84,$12.00
2973,2012.0,Drink,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",California,Chardonnay,McManis 2012 Chardonnay (River Junction),85,$10.00
2974,2012.0,Drink,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",California,Chardonnay,Demetria 2012 Chardonnay (Santa Barbara County),89,$35.00
2975,2012.0,Drink,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",California,Chardonnay,J Vineyards & Winery 2012 Estate Grown Chardonnay (Russian River Valley),91,$28.00
2976,2012.0,Drink,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",California,Chardonnay,Summers 2012 Stuhlmuller Vineyard Reserve Chardonnay (Alexander Valley),91,$32.00
2977,2012.0,Drink,"Ideal growing season; wines are intense, with pure, ripe, vibrant flavors",California,Chardonnay,Alta Maria 2012 Rancho Viñedo Chardonnay (Santa Maria Valley),91,$40.00
