,Year,Drink Window,Description,Province,Type,Name of Wine,Points,Price
101,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Chacewater 2015 Chardonnay (Lake County),88,$22.00
102,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Boekenoogen 2015 Estate Chardonnay (Santa Lucia Highlands),87,$32.00
103,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Lea 2015 Mormann Vineyard Chardonnay (Santa Barbara County),90,$32.00
104,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Lyric by Etude 2015 Chardonnay (Santa Barbara County),85,$25.00
105,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Lucie 2015 Dutton Ranch Dutton Hill Vineyard Chardonnay (Russian River Valley),94,$50.00
106,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Sonoma Collection 2015 District 3 Chardonnay (Sonoma Coast),84,$13.00
107,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Sojourn 2015 Gap's Crown Vineyard Chardonnay (Sonoma Coast),91,$45.00
108,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Groth 2015 Hillview Vineyard Chardonnay (Napa Valley),90,$30.00
109,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,La Crema 2015 Chardonnay (Sonoma Coast),88,$23.00
110,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Longboard 2015 Rochioli Vineyard Chardonnay (Russian River Valley),93,$49.00
111,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Oberon 2015 Chardonnay (Los Carneros),87,$22.00
112,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Kenwood 2015 Chardonnay (Sonoma County),87,$13.00
113,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Frank Family 2015 Lewis Vineyard Reserve Chardonnay (Carneros),92,$65.00
114,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Patz & Hall 2015 Hudson Vineyard Chardonnay (Carneros),94,$60.00
115,2015.0,Drink,Sonoma strong again in another drought year; elegant and refined in style,California,Chardonnay,Foppiano 2015 Della's Block Chardonnay (Russian River Valley),91,$37.00
